Local SEO Analysis Report
Generated: 15/08/2025, 15:16:32

Overall Score: 96%
Files Analyzed: 390
Files with Errors: 0

Detailed Results:
a1-poster-print.html: 60% (6/10)
a2-poster-print.html: 100% (10/10)
a2-wall-calendar-print.html: 80% (8/10)
a3-paper-bag-details.html: 100% (10/10)
a3-poster-print.html: 100% (10/10)
a3-wall-calendar-print.html: 100% (10/10)
a4-notebook.html: 100% (10/10)
a4-poster-print.html: 100% (10/10)
a5-jotter.html: 100% (10/10)
a5flyer.html: 100% (10/10)
a5menu-card-printing.html: 100% (10/10)
a6flyer.html: 100% (10/10)
about.html: 100% (10/10)
advert-banner-print.html: 100% (10/10)
advert-poster-print.html: 100% (10/10)
backdrop-banner-print.html: 100% (10/10)
banner-printing.html: 100% (10/10)
bifold-product.html: 100% (10/10)
birthday-banner-prints.html: 100% (10/10)
blog.html: 100% (10/10)
book-publishing.html: 100% (10/10)
boxflyer.html: 100% (10/10)
branded-bag-prints.html: 100% (10/10)
branded-box-printing.html: 100% (10/10)
branded-gift-items-printing.html: 100% (10/10)
branded-hoodies.html: 100% (10/10)
branded-mousepad-printing.html: 100% (10/10)
branded-mug-printing.html: 100% (10/10)
brochure-company-profile-printing.html: 100% (10/10)
brochure-printing.html: 100% (10/10)
burial-funeral-banner-printing.html: 100% (10/10)
business-cards.html: 100% (10/10)
button-down-polo-t-shirt-printing.html: 100% (10/10)
calculator.html: 100% (10/10)
calendars.html: 100% (10/10)
canvas-prints.html: 100% (10/10)
classic-artwork-tshirt-print.html: 100% (10/10)
collapsiblebox.html: 100% (10/10)
commemorative-achievement-medal-print.html: 100% (10/10)
component-button-badge-print.html: 100% (10/10)
conqueror-letterhead.html: 100% (10/10)
contact.html: 100% (10/10)
corporate-product.html: 100% (10/10)
courier-shopping-bag-print.html: 100% (10/10)
custom-3D-monogram-embroidery-print.html: 100% (10/10)
custom-acrylic-business-social-media-signage.html: 100% (10/10)
custom-bath-towel-print.html: 100% (10/10)
custom-branded-helmet-print.html: 100% (10/10)
custom-branded-versity-jacket-print.html: 100% (10/10)
custom-branded-wireless-mouse-print.html: 100% (10/10)
custom-business-customer-thank-you-card-print.html: 100% (10/10)
custom-business-receipt-invoice-booklet-print.html: 100% (10/10)
custom-c4-envelope-printing.html: 100% (10/10)
custom-calendar-printing.html: 100% (10/10)
custom-casting-lapel-badge-printing.html: 60% (6/10)
custom-certificate-of-completion-print.html: 100% (10/10)
custom-clothing-hang-tag-label-cards.html: 100% (10/10)
custom-clothing-woven-label-printing.html: 60% (6/10)
custom-crystal-award-plaque-printing.html: 100% (10/10)
custom-embroidered-face-towel-print.html: 100% (10/10)
custom-event-hall-branding.html: 100% (10/10)
custom-event-ticket-print.html: 60% (6/10)
custom-funeral-burial-tshirt-printing.html: 100% (10/10)
custom-gazebo-canopy-tent-printing.html: 60% (6/10)
custom-landscape-funeral-brochure-printing.html: 100% (10/10)
custom-magnetic-name-tag-print.html: 100% (10/10)
custom-notebooks.html: 100% (10/10)
custom-office-wall-branding.html: 100% (10/10)
custom-Personalized-apron-print.html: 100% (10/10)
custom-point-of-sale-display-stand-print.html: 100% (10/10)
custom-promotional-counter-table-printing.html: 100% (10/10)
custom-promotional-pvc-dangler-printing.html: 60% (6/10)
custom-reusable-name-tag-print.html: 100% (10/10)
custom-square-funeral-brochure-print.html: 100% (10/10)
custom-table-tent-card-printing.html: 100% (10/10)
custom-v-neck-t-shirt-printing.html: 100% (10/10)
custom-wedding-handfan-print.html: 100% (10/10)
custom-wooden-award-plaque-printing.html: 100% (10/10)
customized-sweatshirts-printing.html: 100% (10/10)
delivery-box-branding.html: 100% (10/10)
desk-table-calendar-print.html: 100% (10/10)
disposablebox.html: 100% (10/10)
envelope-printing.html: 100% (10/10)
event-backdrop-banner-print-in-lagos-nigeria.html: 100% (10/10)
event-table-tags-tent-cards-printing.html: 100% (10/10)
face-cap-printing.html: 100% (10/10)
faq.html: 100% (10/10)
flyer-printing.html: 100% (10/10)
